src_ip,dst_ip,src_port,dst_port,protocol,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,avg_pkt_size,pkt_size_entropy,duration,pkt_rate,byte_rate,syn_count,fin_count,rst_count,ack_count,label
10.8.8.178,157.55.56.169,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
64.4.23.159,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
111.221.74.31,10.8.8.178,0,0,OTHER,0,1,0,899,899.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.55.56.169,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,157.56.52.14,0,0,OTHER,1,0,69,0,69.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.178,65.55.223.41,0,0,OTHER,1,0,62,0,62.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
65.55.223.41,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
157.56.52.14,10.8.8.178,0,0,OTHER,0,1,0,48,48.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.130,205.188.12.43,44917,443,TCP,565,0,65240,0,115.46902654867256,2.315436951224766,1025.273265,0.551072596240964,63.6318162455938,0,0,0,565,VPN
205.188.12.43,10.8.8.130,443,44917,TCP,0,543,0,91138,167.841620626151,2.0727792443511524,1025.07233,0.5297187175074757,88.908848022461,0,0,0,543,VPN
10.8.8.130,178.237.19.227,48410,443,TCP,35,0,1604,0,45.82857142857143,0.3731399901212818,989.998709,0.0353535814560339,1.6202041330136725,0,0,0,35,VPN
10.8.8.130,178.237.18.202,34342,443,TCP,34,0,1564,0,46.0,-0.0,989.998688,0.0343434798572177,1.5798000734320163,0,0,0,34,VPN
178.237.19.227,10.8.8.130,443,48410,TCP,0,35,0,1400,40.0,-0.0,989.991624,0.0353538344684015,1.4141533787360607,0,0,0,35,VPN
178.237.18.202,10.8.8.130,443,34342,TCP,0,34,0,1360,40.0,-0.0,989.989346,0.0343438039382698,1.3737521575307943,0,0,0,34,VPN
64.12.104.73,10.8.8.130,443,42784,TCP,0,3,0,120,40.0,-0.0,600.400787,0.0049966623378193,0.1998664935127741,0,0,0,3,VPN
10.8.8.130,64.12.104.73,42784,443,TCP,3,0,120,0,40.0,-0.0,600.400789,0.0049966623211749,0.1998664928469972,0,0,0,3,VPN
64.12.27.66,10.8.8.130,443,38929,TCP,0,4,0,160,40.0,-0.0,603.219814,0.0066310819160194,0.2652432766407769,0,0,1,4,VPN
10.8.8.130,64.12.27.66,38929,443,TCP,3,0,120,0,40.0,-0.0,600.399453,0.0049966734396741,0.1998669375869667,0,0,0,3,VPN
10.8.8.130,198.7.63.141,0,0,OTHER,2,0,128,0,64.0,-0.0,0.000816,2450.9803921568628,156862.7450980392,0,0,0,0,VPN
10.8.8.130,78.46.223.24,0,0,OTHER,2,0,529,0,264.5,1.0,0.123823,16.15208806118411,4272.227292183196,0,0,0,0,VPN
198.7.63.141,10.8.8.130,0,0,OTHER,0,2,0,591,295.5,1.0,0.807467,2.476881408156618,731.9184561102807,0,0,0,0,VPN
78.46.223.24,10.8.8.130,0,0,OTHER,0,1,0,437,437.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.130,137.116.224.167,43819,443,TCP,11,0,1266,0,115.0909090909091,2.40400975732486,0.784843,14.015541961895565,1613.061465796344,1,1,0,10,VPN
137.116.224.167,10.8.8.130,443,43819,TCP,0,8,0,3980,497.5,2.5,0.784059,10.2033137812333,5076.148606163566,1,1,0,8,VPN
10.8.8.130,67.18.187.111,0,0,OTHER,1,0,76,0,76.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
67.18.187.111,10.8.8.130,0,0,OTHER,0,1,0,76,76.0,-0.0,0.0,0.0,0.0,0,0,0,0,VPN
10.8.8.110,199.233.217.27,0,0,OTHER,3,0,228,0,76.0,-0.0,1024.999837,0.0029268297337299,0.2224390597634797,0,0,0,0,VPN
199.233.217.27,10.8.8.110,0,0,OTHER,0,3,0,228,76.0,-0.0,1024.998029,0.002926834896382,0.2224394521250342,0,0,0,0,VPN
10.8.8.110,216.58.208.46,33063,80,TCP,10,0,520,0,52.0,-0.0,75.261143,0.1328706899920454,6.909275879586362,0,1,0,10,VPN
216.58.208.46,10.8.8.110,80,33063,TCP,0,9,0,468,52.0,-0.0,75.140043,0.1197763488104471,6.228370138143253,0,1,0,9,VPN
10.8.8.110,198.7.63.141,0,0,OTHER,51,0,3381,0,66.29411764705883,2.0119209285947934,1170.061252,0.0435874616929883,2.88959231341164,0,0,0,0,VPN
10.8.8.110,78.46.223.24,0,0,OTHER,39,0,5388,0,138.15384615384616,1.6121146320158934,1170.214124,0.0333272340507146,4.604285565775653,0,0,0,0,VPN
198.7.63.141,10.8.8.110,0,0,OTHER,0,51,0,12770,250.3921568627451,3.290127068957596,1170.07126,0.0435870888752536,10.91386519484292,0,0,0,0,VPN
78.46.223.24,10.8.8.110,0,0,OTHER,0,26,0,6786,261.0,1.667054278117316,1170.071428,0.0222208656478705,5.799645934094205,0,0,0,0,VPN
10.8.8.110,64.233.184.16,37386,465,TCP,21,0,2193,0,104.42857142857144,2.9385400412082454,3.031201,6.927947041453207,723.4756124717561,1,1,0,20,VPN
64.233.184.16,10.8.8.110,465,37386,TCP,0,23,0,5675,246.7391304347826,3.132257608230926,3.031462,7.587098238407739,1872.0340218679964,1,1,2,21,VPN
10.8.8.110,216.58.208.46,33072,80,TCP,17,0,1327,0,78.05882352941177,0.6402064333604701,116.274644,0.1462055648177258,11.412634383124836,1,1,0,16,VPN
216.58.208.46,10.8.8.110,80,33072,TCP,0,15,0,1567,104.46666666666668,0.6998428398862386,116.152701,0.1291403460346565,13.490861482420456,1,1,0,15,VPN
10.8.8.110,64.233.184.16,37388,465,TCP,16,0,2198,0,137.375,3.375,2.409995,6.6390179232737,912.0350872097245,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37388,TCP,0,22,0,2005,91.13636363636364,2.6767370300521325,2.408419,9.134623169805586,832.4963388845546,1,1,2,20,VPN
10.8.8.110,64.233.184.16,37389,465,TCP,15,0,2155,0,143.66666666666666,3.456564762130954,2.261762,6.631997531128386,952.7969786387781,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37389,TCP,0,20,0,1901,95.05,2.821928094887362,2.261346,8.844290082101546,840.6497723037519,1,1,2,18,VPN
10.8.8.110,63.245.216.134,46949,443,TCP,14,0,1766,0,126.14285714285714,1.7695459925589747,1.481955,9.446980508854857,1191.669112759834,1,1,0,13,VPN
10.8.8.110,63.245.216.134,46950,443,TCP,11,0,1049,0,95.36363636363636,1.6729330318733675,6.287725,1.7494403778791217,166.83299603592715,1,1,0,10,VPN
63.245.216.134,10.8.8.110,443,46949,TCP,0,11,0,3776,343.27272727272725,2.550340709546388,1.214228,9.059254110430661,3109.794865544198,1,1,0,11,VPN
63.245.216.134,10.8.8.110,443,46950,TCP,0,8,0,3118,389.75,2.1556390622295662,6.020449,1.3288045459732323,517.9015717930673,1,1,0,8,VPN
10.8.8.110,93.184.220.29,39913,80,TCP,8,0,1298,0,162.25,1.2987949406953985,16.015774,0.4995075479961193,81.04509966237036,1,1,0,7,VPN
93.184.220.29,10.8.8.110,80,39913,TCP,0,7,0,1948,278.2857142857143,1.3787834934861751,16.017369,0.4370255814172727,121.61797608583532,1,1,0,7,VPN
10.8.8.110,93.184.220.29,39914,80,TCP,4,0,216,0,54.0,0.8112781244591328,5.61312,0.7126161564334986,38.48127244740893,1,1,0,3,VPN
93.184.220.29,10.8.8.110,80,39914,TCP,0,2,0,112,56.0,1.0,5.484874,0.3646391877005743,20.419794511232165,1,1,0,2,VPN
10.8.8.110,63.245.217.162,45061,443,TCP,13,0,2647,0,203.6153846153846,2.1887870678023824,12.663461,1.0265755941444443,209.026584438488,1,1,0,12,VPN
10.8.8.110,63.245.217.162,45062,443,TCP,12,0,1918,0,159.83333333333334,1.9473387961875537,12.411453,0.9668489257462441,154.5346866317747,1,1,0,11,VPN
63.245.217.162,10.8.8.110,443,45061,TCP,0,14,0,4578,327.0,2.5495234595978316,12.665282,1.105383993818693,361.46056597871245,1,1,2,12,VPN
63.245.217.162,10.8.8.110,443,45062,TCP,0,13,0,3993,307.15384615384613,2.4996981431844145,12.414351,1.0471751604252209,321.64387812137744,1,1,2,11,VPN
10.8.8.110,64.233.184.16,37396,465,TCP,17,0,2227,0,131.0,3.057476076289931,2.317308,7.3360986109744575,961.0289180376541,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37396,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.302086,8.253384104677236,805.7909217987512,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37397,465,TCP,15,0,2126,0,141.73333333333332,3.240223928941852,2.434756,6.160781614256213,873.1881141272472,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37397,TCP,0,21,0,1959,93.28571428571428,2.748063850732055,2.429926,8.642238487921032,806.1973903732048,1,1,2,19,VPN
10.8.8.110,63.245.216.132,39035,443,TCP,12,0,1629,0,135.75,1.9473387961875537,1.339761,8.956821403220426,1215.8885054871728,1,1,0,11,VPN
10.8.8.110,63.245.216.132,39036,443,TCP,12,0,1080,0,90.0,1.584962500721156,6.280621,1.9106390912618352,171.95751821356518,1,1,0,11,VPN
63.245.216.132,10.8.8.110,443,39035,TCP,0,11,0,4908,446.1818181818182,2.2998963911678914,1.075072,10.231872842005,4565.275628050958,1,1,0,11,VPN
63.245.216.132,10.8.8.110,443,39036,TCP,0,9,0,4183,464.77777777777777,2.113283334294875,6.01406,1.496493217560184,695.5367921171388,1,1,0,9,VPN
10.8.8.110,93.184.220.29,39921,80,TCP,10,0,1839,0,183.9,1.295461844238322,17.292124,0.5782979580761738,106.34899449020836,1,1,0,9,VPN
93.184.220.29,10.8.8.110,80,39921,TCP,0,8,0,2788,348.5,1.4056390622295665,17.292912,0.4626172850471915,161.22212383894626,1,1,0,8,VPN
10.8.8.110,93.184.220.29,39922,80,TCP,4,0,216,0,54.0,0.8112781244591328,5.603258,0.7138703946882331,38.549001313164595,1,1,0,3,VPN
93.184.220.29,10.8.8.110,80,39922,TCP,0,2,0,112,56.0,1.0,5.47439,0.3653375079232572,20.458900443702404,1,1,0,2,VPN
10.8.8.110,63.245.217.114,54950,443,TCP,19,0,2151,0,113.21052631578948,1.442508097190614,12.406107,1.5315037988951732,173.38235112755356,1,1,0,18,VPN
10.8.8.110,63.245.217.114,54951,443,TCP,11,0,1170,0,106.36363636363636,1.6729330318733675,6.070887,1.8119263297109631,192.72307325107516,1,1,0,10,VPN
63.245.217.114,10.8.8.110,443,54950,TCP,0,25,0,23298,931.92,1.813660689688186,12.407591,2.0148955586946733,1877.72146905874,1,1,2,23,VPN
63.245.217.114,10.8.8.110,443,54951,TCP,0,7,0,3064,437.7142857142857,2.235926350629033,5.801738,1.2065350072685117,528.1176088958172,1,1,0,7,VPN
10.8.8.110,64.233.184.16,37404,465,TCP,15,0,2128,0,141.86666666666667,3.240223928941852,2.272225,6.601458922421855,936.526972460914,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37404,TCP,0,21,0,1959,93.28571428571428,2.748063850732055,2.269764,9.252063210095853,863.0853251703701,1,1,2,19,VPN
10.8.8.110,64.233.184.16,37405,465,TCP,16,0,2197,0,137.3125,3.375,2.366744,6.760342478949984,928.2795266408197,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37405,TCP,0,20,0,1907,95.35,2.821928094887362,2.369106,8.442003017171878,804.9449876873385,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37406,465,TCP,15,0,2133,0,142.2,3.240223928941852,2.289234,6.552410107485735,931.7527172844717,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37406,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.291385,8.291928244271478,809.5540470065048,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37407,465,TCP,16,0,2223,0,138.9375,3.375,2.246094,7.123477467995551,989.718150709632,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37407,TCP,0,20,0,1901,95.05,2.821928094887362,2.24698,8.900835788480538,846.0244416950752,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37408,465,TCP,18,0,2395,0,133.05555555555554,3.197159723424149,2.471826,7.282065970662984,968.9193333187693,1,1,0,17,VPN
64.233.184.16,10.8.8.110,465,37408,TCP,0,20,0,1907,95.35,2.821928094887362,2.471423,8.092503792349591,771.6202366005334,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37409,465,TCP,17,0,2254,0,132.58823529411765,3.286895754518762,2.385386,7.1267291750685215,944.9204447414381,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37409,TCP,0,20,0,1901,95.05,2.821928094887362,2.388153,8.374672812001576,796.0126507807497,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37410,465,TCP,14,0,2074,0,148.14285714285714,3.3248629576173565,2.328264,6.013063810633159,890.7924530895122,1,1,0,13,VPN
64.233.184.16,10.8.8.110,465,37410,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.326661,8.16620900079556,797.2798787618824,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37411,465,TCP,17,0,2251,0,132.41176470588235,3.286895754518762,2.31525,7.3426195875175475,972.2492171471765,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37411,TCP,0,20,0,1901,95.05,2.821928094887362,2.312889,8.647194050384606,821.9157944890568,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37412,465,TCP,15,0,2118,0,141.2,3.240223928941852,2.324022,6.454327885020022,911.3510973648271,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37412,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.325625,8.16984681537221,797.6350443429186,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37413,465,TCP,15,0,2122,0,141.46666666666667,3.240223928941852,2.379514,6.303808256644004,891.7787413732384,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37413,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.378905,7.986867907713843,779.7705246741674,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37414,465,TCP,15,0,2120,0,141.33333333333334,3.240223928941852,2.189398,6.851198365943516,968.3027023866836,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37414,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.185313,8.69440670512645,846.1030525146741,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37415,465,TCP,17,0,2228,0,131.05882352941177,3.057476076289931,2.296598,7.402253245888048,970.1306018728573,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37415,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.301194,8.256583321527867,803.4959242897382,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37416,465,TCP,16,0,2201,0,137.5625,3.375,2.461108,6.5011368863129935,894.3126429234312,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37416,TCP,0,20,0,1901,95.05,2.821928094887362,2.452531,8.15484085624198,775.1176233858001,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37417,465,TCP,15,0,2130,0,142.0,3.240223928941852,2.312615,6.4861639313072,921.0352782456224,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37417,TCP,0,19,0,1843,97.0,2.897849384264468,2.311549,8.219596469726577,797.300857563478,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37418,465,TCP,16,0,2203,0,137.6875,3.375,2.425222,6.597334182190331,908.3704502103312,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37418,TCP,0,20,0,1901,95.05,2.821928094887362,2.425307,8.24637870587105,783.8182959930433,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37419,465,TCP,16,0,2200,0,137.5,3.375,2.288217,6.992343820538,961.4472753239748,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37419,TCP,0,20,0,1907,95.35,2.821928094887362,2.284158,8.755961715432996,834.8809495665362,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37420,465,TCP,16,0,2203,0,137.6875,3.375,2.328487,6.871414785652657,946.1079232995504,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37420,TCP,0,20,0,1907,95.35,2.821928094887362,2.338195,8.55360652126961,815.5863818030574,1,1,2,18,VPN
10.8.8.110,74.125.133.16,57573,995,TCP,76,0,5640,0,74.21052631578948,2.1216201085604687,7.834203,9.701050636548478,719.920073554387,1,1,0,75,VPN
74.125.133.16,10.8.8.110,995,57573,TCP,0,134,0,103495,772.3507462686567,3.151045288258355,7.836658,17.09912567321427,13206.522474248588,1,1,2,132,VPN
10.8.8.110,74.125.133.16,57574,995,TCP,17,0,1815,0,106.76470588235294,2.721622785434244,2.396075,7.0949365107519595,757.4888098244003,1,1,0,16,VPN
74.125.133.16,10.8.8.110,995,57574,TCP,0,24,0,5199,216.625,3.5016291673878226,2.396094,10.01630153074128,2169.78131909683,1,1,2,22,VPN
10.8.8.110,64.233.184.16,37423,465,TCP,15,0,2157,0,143.8,3.240223928941852,2.508338,5.980055319498409,859.9319549438712,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37423,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.503884,7.588210955459599,740.8490169672397,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37424,465,TCP,18,0,2306,0,128.11111111111111,3.197159723424149,2.376015,7.575709749307138,970.5325934390144,1,1,0,17,VPN
64.233.184.16,10.8.8.110,465,37424,TCP,0,20,0,1901,95.05,2.821928094887362,2.383675,8.3904055712293,797.508049545345,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37425,465,TCP,17,0,2225,0,130.88235294117646,3.057476076289931,2.256877,7.532532787564408,985.8756148429889,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37425,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.254638,8.427073437066174,820.087304480808,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37426,465,TCP,16,0,2206,0,137.875,3.375,2.47214,6.4721253650683215,892.3442847087949,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37426,TCP,0,20,0,1907,95.35,2.821928094887362,2.472248,8.08980328834324,771.362743543528,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37427,465,TCP,17,0,2224,0,130.8235294117647,3.057476076289931,2.381282,7.139011675223681,933.950703864557,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37427,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.382374,7.975238144808498,776.1165963026796,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37428,465,TCP,17,0,2259,0,132.88235294117646,3.286895754518762,2.38344,7.132547913939516,947.7897492699628,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37428,TCP,0,20,0,1901,95.05,2.821928094887362,2.386725,8.379683457457395,796.4889126313253,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37429,465,TCP,16,0,2203,0,137.6875,3.375,3.681059,4.346575265433127,598.4690818593236,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37429,TCP,0,20,0,1901,95.05,2.821928094887362,3.680421,5.434160928871996,516.5169962892832,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37430,465,TCP,16,0,2206,0,137.875,3.375,2.401914,6.661354236662928,918.4342153799013,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37430,TCP,0,20,0,1901,95.05,2.821928094887362,2.390381,8.366867039187477,795.2707120747696,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37431,465,TCP,16,0,2205,0,137.8125,3.375,2.603808,6.144846317393601,846.8366331158057,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37431,TCP,0,20,0,1901,95.05,2.821928094887362,2.597677,7.69918661942959,731.8076881767826,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37432,465,TCP,17,0,2228,0,131.05882352941177,3.057476076289931,2.342377,7.25758492334923,951.1705417189461,1,1,0,16,VPN
64.233.184.16,10.8.8.110,465,37432,TCP,0,20,0,1907,95.35,2.821928094887362,2.338828,8.55129150155548,815.365644673315,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37433,465,TCP,16,0,2202,0,137.625,3.375,2.3599,6.779948302894191,933.0903851858128,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37433,TCP,0,20,0,1901,95.05,2.821928094887362,2.360908,8.471316967878462,805.1986777968477,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37434,465,TCP,15,0,2121,0,141.4,3.240223928941852,2.225915,6.738801796115306,952.866573970704,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37434,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.225927,8.535769591725154,830.6651565842006,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37435,465,TCP,15,0,2152,0,143.46666666666667,3.456564762130954,2.230951,6.723590074367388,964.6110560025747,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37435,TCP,0,20,0,1901,95.05,2.821928094887362,2.230243,8.967632675004472,852.3734857591751,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37436,465,TCP,15,0,2122,0,141.46666666666667,3.240223928941852,2.208254,6.792696854619079,960.9401817001125,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37436,TCP,0,19,0,1855,97.63157894736842,2.897849384264468,2.210159,8.596666574667253,839.3061313688291,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37437,465,TCP,15,0,2121,0,141.4,3.240223928941852,2.220512,6.755198800997247,955.1851104610109,1,1,0,14,VPN
64.233.184.16,10.8.8.110,465,37437,TCP,0,19,0,1849,97.3157894736842,2.897849384264468,2.217051,8.56994268512542,833.9907381472054,1,1,2,17,VPN
10.8.8.110,64.233.184.16,37438,465,TCP,16,0,2201,0,137.5625,3.375,2.318253,6.9017488600252,949.4218275572165,1,1,0,15,VPN
64.233.184.16,10.8.8.110,465,37438,TCP,0,20,0,1901,95.05,2.821928094887362,2.310686,8.655438255132891,822.6994061503813,1,1,2,18,VPN
10.8.8.110,64.233.184.16,37439,465,TCP,18,0,2307,0,128.16666666666666,3.197159723424149,2.285629,7.875293846901663,1009.3501613778964,1,1,0,17,VPN
